{'add_noise_prob': 1.0,
 'base_lr': 0.01,
 'batch_size': 4,
 'cfg': 'config_3d_pan.yml',
 'conf_threshold': 0.8,
 'consistency': 1.0,
 'consistency_rampup': 40,
 'cutmix_prob': 1.0,
 'deterministic': 1,
 'ema_decay': 0.99,
 'exp': 'Pancrease_init/v9',
 'flag_ema_buffer': True,
 'flag_ema_mode_train': False,
 'flag_extra_weak': True,
 'flag_not_use_noise_weak': False,
 'flag_pseudo_from_student': False,
 'flag_sampling_based_on_lb': False,
 'flag_ulb_loss_type': 'ce',
 'flag_use_color_augs': True,
 'flag_use_dynamic_cutmix': False,
 'flag_use_teacher_warmup': False,
 'gpu_id': 2,
 'labeled_bs': 2,
 'labeled_num': 12,
 'max_iterations': 15000,
 'max_samples': 62,
 'model': 'vnet',
 'num_classes': 2,
 'patch_size': [96, 96, 96],
 'poly': True,
 'res_path': './results/Pancreas',
 'root_path': './data/Pancreas',
 'save_interval_epoch': 1000000,
 'seed': 2024,
 'test_interval_iter': 200,
 'workers': 4}
total 62 samples
25 iterations per epoch
iteration:139  t-loss:0.2952, loss-lb:0.2949, loss-ulb:0.0454, weight:0.01, high-r:0.80, lr:0.0099
iteration:140  t-loss:0.2564, loss-lb:0.2560, loss-ulb:0.0619, weight:0.01, high-r:0.64, lr:0.0099
iteration:141  t-loss:0.2811, loss-lb:0.2806, loss-ulb:0.0757, weight:0.01, high-r:0.80, lr:0.0099
iteration:142  t-loss:0.2541, loss-lb:0.2534, loss-ulb:0.1028, weight:0.01, high-r:0.76, lr:0.0099
iteration:143  t-loss:0.2950, loss-lb:0.2946, loss-ulb:0.0705, weight:0.01, high-r:0.70, lr:0.0099
iteration:144  t-loss:0.3146, loss-lb:0.3139, loss-ulb:0.1085, weight:0.01, high-r:0.84, lr:0.0099
iteration:145  t-loss:0.2554, loss-lb:0.2549, loss-ulb:0.0729, weight:0.01, high-r:0.81, lr:0.0099
iteration:146  t-loss:0.2898, loss-lb:0.2895, loss-ulb:0.0394, weight:0.01, high-r:0.85, lr:0.0099
iteration:147  t-loss:0.2467, loss-lb:0.2462, loss-ulb:0.0823, weight:0.01, high-r:0.87, lr:0.0099
iteration:148  t-loss:0.2778, loss-lb:0.2774, loss-ulb:0.0561, weight:0.01, high-r:0.83, lr:0.0099
iteration:149  t-loss:0.2627, loss-lb:0.2625, loss-ulb:0.0362, weight:0.01, high-r:0.93, lr:0.0099
iteration:150  t-loss:0.2768, loss-lb:0.2764, loss-ulb:0.0633, weight:0.01, high-r:0.73, lr:0.0099
  1%|▎                              | 6/601 [02:46<4:31:45, 27.40s/it]iteration:151  t-loss:0.2885, loss-lb:0.2879, loss-ulb:0.0695, weight:0.01, high-r:0.89, lr:0.0099
iteration:152  t-loss:0.2798, loss-lb:0.2792, loss-ulb:0.0723, weight:0.01, high-r:0.75, lr:0.0099
iteration:153  t-loss:0.2730, loss-lb:0.2723, loss-ulb:0.0794, weight:0.01, high-r:0.84, lr:0.0099
iteration:154  t-loss:0.2274, loss-lb:0.2264, loss-ulb:0.1155, weight:0.01, high-r:0.75, lr:0.0099
iteration:155  t-loss:0.2580, loss-lb:0.2568, loss-ulb:0.1311, weight:0.01, high-r:0.89, lr:0.0099
iteration:156  t-loss:0.2803, loss-lb:0.2799, loss-ulb:0.0496, weight:0.01, high-r:0.83, lr:0.0099
iteration:157  t-loss:0.2402, loss-lb:0.2392, loss-ulb:0.1178, weight:0.01, high-r:0.88, lr:0.0099
iteration:158  t-loss:0.2443, loss-lb:0.2429, loss-ulb:0.1602, weight:0.01, high-r:0.80, lr:0.0099
iteration:159  t-loss:0.2678, loss-lb:0.2670, loss-ulb:0.0929, weight:0.01, high-r:0.76, lr:0.0099
iteration:160  t-loss:0.2798, loss-lb:0.2795, loss-ulb:0.0449, weight:0.01, high-r:0.73, lr:0.0099
iteration:161  t-loss:0.2369, loss-lb:0.2362, loss-ulb:0.0767, weight:0.01, high-r:0.77, lr:0.0099
iteration:162  t-loss:0.2962, loss-lb:0.2954, loss-ulb:0.0853, weight:0.01, high-r:0.82, lr:0.0099
iteration:163  t-loss:0.3255, loss-lb:0.3249, loss-ulb:0.0748, weight:0.01, high-r:0.93, lr:0.0099
iteration:164  t-loss:0.3070, loss-lb:0.3063, loss-ulb:0.0819, weight:0.01, high-r:0.77, lr:0.0099
iteration:165  t-loss:0.2951, loss-lb:0.2942, loss-ulb:0.1035, weight:0.01, high-r:0.79, lr:0.0099
iteration:166  t-loss:0.2850, loss-lb:0.2845, loss-ulb:0.0636, weight:0.01, high-r:0.90, lr:0.0099
iteration:167  t-loss:0.2387, loss-lb:0.2381, loss-ulb:0.0760, weight:0.01, high-r:0.75, lr:0.0099
iteration:168  t-loss:0.2260, loss-lb:0.2255, loss-ulb:0.0546, weight:0.01, high-r:0.78, lr:0.0099
iteration:169  t-loss:0.2304, loss-lb:0.2294, loss-ulb:0.1131, weight:0.01, high-r:0.78, lr:0.0099
iteration:170  t-loss:0.2398, loss-lb:0.2390, loss-ulb:0.0843, weight:0.01, high-r:0.85, lr:0.0099
iteration:171  t-loss:0.2371, loss-lb:0.2362, loss-ulb:0.1026, weight:0.01, high-r:0.77, lr:0.0099
iteration:172  t-loss:0.2737, loss-lb:0.2732, loss-ulb:0.0582, weight:0.01, high-r:0.78, lr:0.0099
iteration:173  t-loss:0.2827, loss-lb:0.2821, loss-ulb:0.0624, weight:0.01, high-r:0.88, lr:0.0099
iteration:174  t-loss:0.2890, loss-lb:0.2884, loss-ulb:0.0710, weight:0.01, high-r:0.69, lr:0.0099
iteration:175  t-loss:0.2656, loss-lb:0.2648, loss-ulb:0.0942, weight:0.01, high-r:0.64, lr:0.0099
  1%|▎                              | 7/601 [03:20<4:51:43, 29.47s/it]iteration:176  t-loss:0.2681, loss-lb:0.2677, loss-ulb:0.0376, weight:0.01, high-r:0.81, lr:0.0099
iteration:177  t-loss:0.2768, loss-lb:0.2762, loss-ulb:0.0663, weight:0.01, high-r:0.83, lr:0.0099
iteration:178  t-loss:0.2586, loss-lb:0.2580, loss-ulb:0.0672, weight:0.01, high-r:0.58, lr:0.0099
iteration:179  t-loss:0.3145, loss-lb:0.3140, loss-ulb:0.0535, weight:0.01, high-r:0.92, lr:0.0099
iteration:180  t-loss:0.2424, loss-lb:0.2420, loss-ulb:0.0449, weight:0.01, high-r:0.85, lr:0.0099
iteration:181  t-loss:0.2537, loss-lb:0.2532, loss-ulb:0.0641, weight:0.01, high-r:0.74, lr:0.0099
iteration:182  t-loss:0.2513, loss-lb:0.2501, loss-ulb:0.1373, weight:0.01, high-r:0.78, lr:0.0099
iteration:183  t-loss:0.2497, loss-lb:0.2493, loss-ulb:0.0477, weight:0.01, high-r:0.82, lr:0.0099
iteration:184  t-loss:0.2366, loss-lb:0.2362, loss-ulb:0.0496, weight:0.01, high-r:0.90, lr:0.0099
iteration:185  t-loss:0.2761, loss-lb:0.2754, loss-ulb:0.0800, weight:0.01, high-r:0.82, lr:0.0099
iteration:186  t-loss:0.2680, loss-lb:0.2672, loss-ulb:0.0982, weight:0.01, high-r:0.82, lr:0.0099
iteration:187  t-loss:0.2811, loss-lb:0.2808, loss-ulb:0.0444, weight:0.01, high-r:0.79, lr:0.0099
iteration:188  t-loss:0.2674, loss-lb:0.2668, loss-ulb:0.0679, weight:0.01, high-r:0.85, lr:0.0099
iteration:189  t-loss:0.2884, loss-lb:0.2880, loss-ulb:0.0463, weight:0.01, high-r:0.80, lr:0.0099
iteration:190  t-loss:0.2545, loss-lb:0.2538, loss-ulb:0.0785, weight:0.01, high-r:0.83, lr:0.0099
iteration:191  t-loss:0.2743, loss-lb:0.2740, loss-ulb:0.0332, weight:0.01, high-r:0.88, lr:0.0099
iteration:192  t-loss:0.2911, loss-lb:0.2908, loss-ulb:0.0346, weight:0.01, high-r:0.85, lr:0.0099
